t,Vmag,Vangle,fgrid,P,,,,,,
-0.1,0.985,-8.013432,1,55.399948,,#VALUE!,,,,
-0.091667,0.985,-8.013432,1,55.399948,,0.008333,,,,
-0.083334,0.985,-8.013432,1,55.399948,,0.008333,,,,
-0.075001,0.985,-8.013432,1,55.399948,,0.008333,,,,
-0.066668,0.985,-8.013432,1,55.399948,,0.008333,,,,
-0.058335,0.985,-8.013432,1,55.399948,,0.008333,,,,0.008333333
-0.050002,0.985,-8.013432,1,55.399948,,0.008333,,,,
-0.041669,0.985,-8.013432,1,55.399948,,0.008333,,,,
-0.033336,0.985,-8.013432,1,55.399948,,0.008333,,,,
-0.025003,0.985,-8.013432,1,55.399948,,0.008333,,,,
-0.01667,0.985,-8.013432,1,55.399948,,0.008333,,,,
-0.008337,0.985,-8.013432,1,55.399948,,0.008333,,,,
0.004163,0.985,-8.013432,1,55.399948,,0.0125,,,,
0.016662,0.985,-8.013432,1,55.399948,,0.012499,,,,
0.029162,0.985,-8.013432,1,55.399948,,0.0125,,,,
0.041661,0.985,-8.013432,1,55.399948,,0.012499,,,,
0.054161,0.985,-8.013432,1,55.399948,,0.0125,,,,
0.06666,0.985,-8.013432,1,55.399948,,0.012499,,,,
0.07916,0.985,-8.013432,1,55.399948,,0.0125,,,,
0.091659,0.985,-8.013432,1,55.399948,,0.012499,,,,
0.104159,0.985,-8.013432,1,55.399948,,0.0125,,,,
0.116658,0.985,-8.013432,1,55.399948,,0.012499,,,,
0.129158,0.985,-8.013432,1,55.399948,,0.0125,,,,
0.147907,0.985,-8.013432,1,55.399948,,0.018749,,,,
0.166656,0.985,-8.013432,1,55.399948,,0.018749,,,,
0.185405,0.985,-8.013432,1,55.399948,,0.018749,,,,
0.204155,0.985,-8.013432,1,55.399948,,0.01875,,,,
0.222904,0.985,-8.013432,1,55.399948,,0.018749,,,,
0.241653,0.985,-8.013432,1,55.399948,,0.018749,,,,
0.260402,0.985,-8.013432,1,55.399948,,0.018749,,,,
0.279152,0.985,-8.013432,1,55.399948,,0.01875,,,,
0.297901,0.985,-8.013432,1,55.399948,,0.018749,,,,
0.31665,0.985,-8.013432,1,55.399948,,0.018749,,,,
0.335399,0.985,-8.013432,1,55.399948,,0.018749,,,,
0.363523,0.985,-8.013432,1,55.399948,,0.028124,,,,
0.391647,0.985,-8.013432,1,55.399948,,0.028124,,,,
0.419771,0.985,-8.013432,1,55.399948,,0.028124,,,,
0.447895,0.985,-8.013432,1,55.399948,,0.028124,,,,
0.476019,0.985,-8.013432,1,55.399948,,0.028124,,,,
0.504143,0.985,-8.013432,1,55.399948,,0.028124,,,,
0.532266,0.985,-8.013432,1,55.399948,,0.028123,,,,
0.56039,0.985,-8.013432,1,55.399948,,0.028124,,,,
0.588514,0.985,-8.013432,1,55.399948,,0.028124,,,,
0.616638,0.985,-8.013432,1,55.399948,,0.028124,,,,
0.644762,0.985,-8.013432,1,55.399948,,0.028124,,,,
0.686948,0.985,-8.013432,1,55.399948,,0.042186,,,,
0.729134,0.985,-8.013432,1,55.399948,,0.042186,,,,
0.771319,0.985,-8.013432,1,55.399948,,0.042185,,,,
0.813505,0.985,-8.013432,1,55.399948,,0.042186,,,,
0.855691,0.985,-8.013432,1,55.399948,,0.042186,,,,
0.897877,0.985,-8.013432,1,55.399948,,0.042186,,,,
0.940063,0.985,-8.013432,1,55.399948,,0.042186,,,,
0.982248,0.985,-8.013432,1,55.399948,,0.042185,,,,
1.024434,0.985,-8.013432,1,55.399948,,0.042186,,,,
1.06662,0.985,-8.013432,1,55.399948,,0.042186,,,,
1.108806,0.985,-8.013432,1,55.399948,,0.042186,,,,
1.172085,0.985,-8.013432,1,55.399948,,0.063279,,,,
1.235363,0.985,-8.013432,1,55.399948,,0.063278,,,,
1.298642,0.985,-8.013432,1,55.399948,,0.063279,,,,
1.361921,0.985,-8.013432,1,55.399948,,,,,,
1.425199,0.985,-8.013432,1,55.399948,,,,,,
1.488478,0.985,-8.013432,1,55.399948,,,,,,
1.551757,0.985,-8.013432,1,55.399948,,,,,,
1.615036,0.985,-8.013432,1,55.399948,,,,,,
1.678314,0.985,-8.013432,1,55.399948,,,,,,
1.741593,0.985,-8.013432,1,55.399948,,,,,,
1.804872,0.985,-8.013432,1,55.399948,,,,,,
1.89979,0.985,-8.013432,1,55.399948,,,,,,
1.994708,0.985,-8.013432,1,55.399948,,,,,,
2,0.985,-8.013432,1,55.399948,,,,,,
2.008333,0,-91.904681,1,0,,,,,,
2.016666,0,-91.682332,1.000667,0,,,,,,
2.024999,0,-91.479652,1.000951,0,,,,,,
2.033332,0,-91.295735,1.001039,0,,,,,,
2.041665,0,-91.123765,1.00103,0,,,,,,
2.049998,0,-90.960721,1.000993,0,,,,,,
2.058331,0,-90.801803,1.000949,0,,,,,,
2.066664,0,-90.642699,1.000916,0,,,,,,
2.074997,0,-90.479789,1.0009,0,,,,,,
2.08333,0,-90.310171,1.000903,0,,,,,,
2.091663,0,-90.131577,1.000923,0,,,,,,
2.099996,0,-89.942288,1.000958,0,,,,,,
2.108329,0,-89.740903,1.001005,0,,,,,,
2.116662,0,-89.526716,1.001062,0,,,,,,
2.124995,0,-89.298926,1.001126,0,,,,,,
2.133328,0,-89.057049,1.001196,0,,,,,,
2.141661,0,-88.800751,1.00127,0,,,,,,
2.149994,0,-88.529804,1.001348,0,,,,,,
2.158327,0,-88.244064,1.001427,0,,,,,,
2.16666,0,-87.943446,1.001508,0,,,,,,
2.1667,0,-87.941914,1.001508,0,,,,,,
2.1667,0.693969,-4.292169,1.001508,0.128127,,,,,,
2.175033,0.749658,-4.004882,1.001549,0.110376,,,,,,
2.183366,0.794235,-3.685632,1.001573,0.073391,,,,,,
2.191699,0.830181,-3.35305,1.001674,0.669425,,,,,,
2.200032,0.859899,-3.028513,1.001761,1.763515,,,,,,
2.208365,0.8846,-2.722428,1.001783,3.231213,,,,,,
2.216698,0.904907,-2.446977,1.001742,4.331004,,,,,,
2.225031,0.921474,-2.197735,1.001637,5.881935,,,,,,
2.233364,0.934346,-1.983045,1.001511,7.10852,,,,,,
2.241697,0.943702,-1.798413,1.001353,8.587945,,,,,,
2.25003,0.950449,-1.653785,1.00119,9.917284,,,,,,
2.258363,0.955351,-1.551298,1.000997,11.324161,,,,,,
2.266696,0.958988,-1.495158,1.000784,12.686499,,,,,,
2.275029,0.961971,-1.486542,1.000549,14.065564,,,,,,
2.283362,0.964637,-1.526702,1.000299,15.439245,,,,,,
2.291695,0.967037,-1.614157,1.000039,16.817998,,,,,,
2.300028,0.969218,-1.747499,0.999777,18.19782,,,,,,
2.308361,0.971226,-1.925369,0.999519,19.580561,,,,,,
2.316694,0.973094,-2.146057,0.999266,20.965622,,,,,,
2.325027,0.974847,-2.407713,0.999021,22.35331,,,,,,
2.33336,0.976502,-2.70828,0.998784,23.743486,,,,,,
2.341693,0.97807,-3.045469,0.998558,25.136051,,,,,,
2.350026,0.979555,-3.41677,0.998343,26.530735,,,,,,
2.358359,0.980956,-3.819455,0.998141,27.927173,,,,,,
2.366692,0.982268,-4.250586,0.997953,29.324875,,,,,,
2.375025,0.983486,-4.70703,0.99778,30.72325,,,,,,
2.383358,0.984599,-5.185479,0.997623,32.121623,,,,,,
2.391691,0.9856,-5.682471,0.997483,33.51926,,,,,,
2.400024,0.986481,-6.194416,0.997362,34.915399,,,,,,
2.408357,0.987233,-6.717616,0.99726,36.309284,,,,,,
2.41669,0.987853,-7.248304,0.997178,37.700198,,,,,,
2.425023,0.988338,-7.782669,0.997116,39.087501,,,,,,
2.433356,0.988689,-8.31689,0.997074,40.470661,,,,,,
2.441689,0.98891,-8.847172,0.997054,41.849286,,,,,,
2.450022,0.989008,-9.369774,0.997055,43.223148,,,,,,
2.458355,0.988993,-9.881048,0.997077,44.592208,,,,,,
2.466688,0.98888,-10.377466,0.997119,45.956623,,,,,,
2.475021,0.988683,-10.855651,0.997182,47.316756,,,,,,
2.483354,0.988422,-11.312406,0.997264,48.673176,,,,,,
2.491687,0.988117,-11.744736,0.997364,50.026642,,,,,,
2.504187,0.987629,-12.34122,0.997482,52.053666,,,,,,
2.516686,0.987154,-12.87244,0.997637,53.603669,,,,,,
2.529186,0.986763,-13.333984,0.997836,54.425145,,,,,,
2.541685,0.986526,-13.717548,0.998064,54.863723,,,,,,
2.554185,0.986501,-14.017564,0.998323,55.107177,,,,,,
2.566684,0.986732,-14.230629,0.998607,55.252876,,,,,,
2.579184,0.987242,-14.354332,0.99891,55.35036,,,,,,
